tenure_months,sessions_per_week,feature_usage,support_tickets,is_premium,churn
6,6,32,0,1,0
24,11,10,1,0,0
11,13,22,0,0,0
13,7,17,1,0,0
34,9,4,1,0,0
25,5,48,2,1,0
7,14,47,3,0,0
4,9,25,1,0,1
8,8,21,1,0,0
20,12,37,0,0,0
29,5,38,0,0,0
10,11,49,2,0,0
34,8,1,0,0,1
26,12,25,1,0,0
3,3,36,0,1,0
6,7,17,0,0,0
5,10,41,2,0,1
5,3,24,2,0,1
23,1,2,2,0,1
9,9,40,0,1,0
35,10,15,2,1,0
20,8,32,2,0,1
35,4,39,5,1,1
18,3,6,1,0,0
17,1,1,2,0,1
24,0,47,1,0,1
3,10,23,1,0,1
32,6,39,3,0,1
35,5,17,2,1,0
13,14,34,0,0,0
25,14,41,0,1,0
9,1,29,3,1,0
4,7,9,1,0,1
14,10,13,1,0,0
34,3,6,0,0,0
11,7,6,1,1,0
3,14,20,1,0,0
28,6,3,1,0,0
29,4,17,0,0,0
9,9,49,1,0,0
3,9,12,2,0,1
25,11,48,0,0,0
34,7,47,3,0,0
12,13,45,1,0,0
9,8,1,2,0,1
15,4,17,0,0,0
25,9,3,0,0,0
5,4,26,0,0,1
11,1,15,2,0,0
34,4,36,2,0,0
24,2,32,1,0,0
15,6,32,2,0,0
8,9,4,0,0,0
5,4,18,0,0,1
26,7,49,0,0,0
18,0,19,2,1,0
6,2,43,2,1,0
13,2,35,1,1,0
28,8,40,1,1,0
5,4,14,0,0,0
13,11,33,1,0,0
17,8,14,3,0,0
32,12,34,3,0,1
29,8,4,2,0,0
3,0,24,0,1,0
34,1,29,0,0,0
27,4,19,0,0,1
13,3,6,1,0,0
33,14,33,0,0,1
6,9,49,1,0,0
24,8,40,1,1,0
19,6,19,3,0,0
16,5,1,1,1,0
28,6,5,0,0,1
33,0,27,0,1,0
13,0,16,1,0,0
25,7,6,1,0,0
27,12,40,2,0,0
7,12,13,1,1,0
5,1,48,2,1,0
31,11,35,0,0,0
23,9,19,2,0,0
10,10,12,0,1,0
32,8,16,2,0,0
30,6,43,1,0,0
31,5,10,1,0,0
18,0,25,2,0,1
2,0,20,3,1,1
14,1,31,2,1,1
13,5,4,0,0,0
29,13,44,1,0,1
12,5,23,2,1,0
2,1,2,2,0,0
32,0,22,0,1,0
13,9,37,1,0,1
27,4,8,1,0,0
17,4,7,1,1,0
31,1,14,0,0,0
34,5,3,2,0,0
24,8,16,1,0,1
35,1,19,0,0,1
6,9,18,2,0,0
19,1,16,1,1,1
30,2,8,1,1,0
7,12,33,1,0,0
10,6,49,3,0,0
32,5,12,1,0,1
34,11,11,1,0,0
28,7,5,2,0,0
15,14,27,1,1,0
30,7,12,0,0,0
29,5,17,0,1,0
22,11,6,1,0,1
4,10,33,0,0,0
20,9,5,2,0,0
32,2,28,1,0,0
4,2,14,2,0,1
27,14,5,0,1,0
17,0,33,2,0,0
12,6,48,1,1,0
22,4,41,1,0,0
17,3,19,3,1,0
10,9,22,4,0,0
1,14,5,3,1,0
22,3,2,2,0,0
26,13,30,1,1,0
18,3,47,0,1,0
14,5,39,2,0,1
29,14,4,0,0,0
12,7,33,1,0,1
35,7,13,0,1,0
12,4,20,0,0,0
7,14,7,3,0,0
29,5,15,0,0,0
11,3,23,1,0,1
33,11,14,1,1,0
6,13,23,2,0,0
15,10,19,1,0,0
32,12,29,1,1,0
11,8,20,2,0,0
23,7,29,2,0,0
26,9,24,1,0,0
34,11,18,4,0,0
34,9,10,1,0,0
29,0,41,1,1,0
4,14,8,0,0,0
17,1,26,3,0,1
35,8,29,0,0,1
13,7,10,0,0,0
15,13,17,1,1,0
29,2,2,1,0,0
29,7,6,1,0,0
11,11,5,1,0,0
32,0,28,1,0,1
2,9,41,2,0,1
14,3,5,2,0,0
20,2,18,1,0,1
22,5,26,2,1,0
11,6,20,3,0,0
27,3,41,2,1,0
3,6,49,2,1,1
17,8,27,3,0,0
28,10,49,1,0,0
29,1,12,1,0,0
21,10,7,2,0,0
16,2,3,0,1,0
20,4,10,0,0,0
6,2,34,1,0,0
19,10,25,0,0,0
5,7,35,1,0,1
3,11,16,0,0,1
1,9,2,1,1,0
15,7,24,1,0,0
34,7,10,2,1,0
35,11,38,0,0,0
25,11,22,0,0,0
24,8,26,2,0,0
12,3,43,1,0,0
18,4,39,2,0,0
15,4,27,1,1,0
16,7,29,1,1,0
27,6,47,1,0,0
8,8,38,2,0,0
25,14,20,1,0,1
17,14,27,0,1,0
29,13,41,0,0,0
8,7,20,1,1,0
15,1,44,0,0,1
27,9,19,4,0,0
7,11,20,0,1,0
3,3,35,3,0,1
29,5,47,1,0,0
24,11,2,0,0,0
3,1,30,0,0,1
20,6,34,4,0,0
15,2,22,0,0,1
25,12,3,0,1,0
30,2,6,1,0,1
14,10,15,1,1,0
7,1,27,0,0,1
17,10,10,0,0,1
20,7,9,2,0,0
9,5,33,2,0,0
22,0,32,0,0,0
2,11,48,2,1,1
24,0,6,1,0,0
8,6,41,3,0,1
11,7,36,0,0,0
13,4,2,0,1,0
17,11,29,0,1,0
8,10,4,0,0,0
21,4,1,2,0,0
18,3,19,1,0,0
30,13,26,0,0,0
18,5,25,0,0,0
31,13,10,1,0,0
32,5,15,1,0,0
11,2,22,1,0,0
25,8,48,0,0,0
33,11,21,0,1,0
8,10,22,1,1,0
11,13,36,2,0,0
22,6,34,1,0,0
24,0,30,0,0,1
17,14,25,1,0,0
12,12,45,0,1,0
32,6,28,0,0,0
15,4,1,1,1,0
16,4,49,2,1,0
22,13,45,0,0,0
28,12,4,0,0,0
20,1,7,4,0,0
33,3,49,0,0,0
10,11,9,0,0,0
32,5,36,1,0,0
33,9,19,0,1,0
2,14,1,1,0,1
33,10,10,2,0,0
33,6,36,1,0,0
13,10,9,1,0,1
30,4,45,0,0,0
33,8,46,1,1,0
13,2,42,1,0,1
26,0,32,2,0,0
22,3,32,1,0,0
2,8,6,0,0,0
26,3,48,2,1,0
15,1,38,1,0,1
34,9,17,1,1,0
11,13,10,2,0,1
3,13,27,2,0,0
6,4,35,0,0,1
9,2,21,2,0,0
6,12,25,4,0,0
9,11,28,3,1,1
31,12,47,0,0,0
32,8,15,2,0,0
12,3,4,1,0,0
8,5,29,1,0,0
8,1,9,1,0,0
28,5,27,3,0,1
20,2,26,0,0,1
7,11,19,1,0,0
11,11,28,4,0,1
20,8,17,1,0,0
16,10,43,2,0,0
4,1,41,2,0,1
6,14,42,0,1,0
22,11,20,2,0,0
26,11,45,3,0,1
3,8,40,0,0,0
14,4,39,2,0,0
11,7,49,2,1,0
18,1,23,2,0,0
12,5,47,2,1,0
23,2,32,0,1,1
12,11,47,1,0,0
13,11,33,2,0,0
25,13,46,1,0,0
19,9,5,1,0,0
8,4,43,1,0,1
29,11,48,1,0,0
32,7,34,2,0,0
18,9,40,0,0,0
6,13,11,3,0,0
18,0,3,0,1,0
19,4,33,2,0,0
22,2,11,1,1,1
32,3,16,0,0,1
3,1,18,2,0,1
28,8,30,0,0,0
10,2,48,0,0,0
35,14,10,2,0,1
29,1,18,0,0,1
15,9,38,1,1,0
33,10,19,0,0,0
7,8,36,1,0,0
12,6,13,0,1,0
30,5,46,3,1,0
21,0,3,0,0,0
31,4,10,0,0,0
24,11,38,3,1,0
20,10,1,1,0,0
4,13,27,3,0,1
28,14,46,2,0,0
20,10,8,0,1,0
24,2,46,1,0,0
32,0,42,1,1,0
34,3,17,1,0,0
2,12,9,0,1,0
15,1,6,2,0,0
34,1,43,2,0,0
6,2,25,0,1,0
12,7,39,0,0,0
3,7,49,5,0,0
18,11,28,0,0,0
21,14,33,0,0,0
15,6,37,1,0,0
33,5,9,2,0,0
35,8,18,1,0,0
26,3,21,2,0,0
8,11,2,1,0,0
30,0,43,1,0,1
23,7,38,2,1,0
14,6,40,1,0,0
14,6,36,1,0,0
2,14,43,1,1,1
5,2,37,1,0,1
14,3,15,1,1,0
25,9,28,2,1,0
20,8,18,0,1,0
2,14,34,1,0,0
6,5,22,4,1,1
17,14,11,0,1,0
25,14,13,0,0,0
28,4,4,1,0,0
2,2,22,2,0,1
35,8,7,4,0,0
5,4,43,2,0,0
